Name,Region,Kommun,SoldPrice,AskPrice,Rooms,Size,MonthlyRent,YearlyRent,YearBuilt,County,Hiss,Balkong,Uteplats
Stig Lindbergs gata 17A,Gustavsberg Porslinskvarteren,Värmdö,1650000,1695000,1,25,1854,5069,2016,Stockholms,true,false,7.5m²
Nyborgsvägen 17,Rosersberg,Sigtuna,1700000,1750000,2,54,3098,11500,N/A,Stockholms,true,true,0
Klövervägen 10 6tr,,Botkyrka,1410000,1460000,1,44,3453,N/A,N/A,Stockholms,true,true,0
Domarebacken 14,Alby,Botkyrka,1625000,1595000,2,60,3539,N/A,1971,Stockholms,true,true,0
Tingstorget 1 4tr,Norsborg,Botkyrka,1285000,1295000,1,30,1875,7200,2017,Stockholms,true,true,0
Västra kanalgatan 11,Centrum,Södertälje,1080000,1045000,1,23,1236,N/A,N/A,Stockholms,true,false,0
Aspnäsvägen 40,Jakobsberg,Järfälla,1575000,1495000,2,37,2304,840,1971,Stockholms,true,false,0
Höjdgatan 9,Centrala  s,Nynäshamn,1535000,1495000,2,52,3493,N/A,1945,Stockholms,true,true,0
Frejgatan 38 BV,Valsta,Sigtuna,1410000,1295000,2,63,4497,5700,1967,Stockholms,true,true,0
Kopparvägen 37,Kallhäll,Järfälla,1280000,1265000,1,25,1462,2640,1959,Stockholms,true,true,0
Cedergrensvägen 16,Midsommarkransen /Telefonplan,Stockholms,850000,795000,1,11,1249,N/A,1968,Stockholms,true,false,0
Bjursätragatan 111 vån 3 av 3,Rågsved,Stockholms,1550000,1550000,1,41,2354,N/A,1956,Stockholms,true,false,0
Viksängsvägen 1,Hagaberg,Södertälje,1350000,1350000,1,35,2842,8100,1956,Stockholms,true,false,0
Lagmansbacken 4 2 tr,,Botkyrka,1475000,1475000,2,37,2399,N/A,2017,Stockholms,true,true,0
Uppsalavägen 23D,Centrala Rimbo,Norrtälje,900000,950000,1,34,2133,7900,2018,Stockholms,true,false,0
Månstorpsvägen 2,Tullinge,Botkyrka,1230000,995000,1,25,1493,N/A,N/A,Stockholms,true,false,0
Johannelundsvägen 24,Spånga Sundby,Stockholms,1550000,1595000,1,28,1949,N/A,1948,Stockholms,true,false,0
Mosshagestigen 7,s,Salem,1695000,1695000,2,63,4458,6720,1990,Stockholms,true,true,0
Hägerneholmsvägen 7A vån 2,ullna,Täby,1200000,1095000,1,24,1945,N/A,2021,Stockholms,true,false,0
Kopparvägen 51 3tr,/Kallhäll,Järfälla,1375000,1375000,1,26,2043,4200,1961,Stockholms,true,true,0
Askungevägen 5,Kallhäll,Järfälla,1600000,1600000,2,53,3431,N/A,N/A,Stockholms,true,false,0
Stavangergatan 36 A,Husby,Stockholms,1500000,1495000,2,50,3535,N/A,1974,Stockholms,true,false,0
Sätunavägen 15D 1tr,Centrala Märsta,Sigtuna,1725000,1650000,3,74,4480,5100,1964,Stockholms,true,true,0
Tornslingan 35,Trångsund,Huddinge,1700000,1575000,1,35,2067,3780,N/A,Stockholms,true,false,0
Stora Brännbovägen 29 bv,,Sigtuna,1375000,1375000,1,25,1656,5700,1960,Stockholms,true,false,0
Fornhöjdsvägen 62,Fornhöjden,Södertälje,1595000,1595000,4,74,5532,4800,1972,Stockholms,true,true,0
Lomvägen 639,Kärrdal,Sollentuna,1585000,1495000,1,35,2259,2800,1976,Stockholms,true,false,0
Kornettstigen 7,N/A,Upplands-Bro,1460000,1495000,2,47,3202,4918,1984,Stockholms,true,false,0
Stadsträdgårdsgatan 54,Västergård,Södertälje,1700000,1595000,2,65,4080,17000,1997,Stockholms,true,true,0
Baldergatan 22,Märsta / Valsta,Sigtuna,1700000,1495000,3,76,4425,5400,N/A,Stockholms,true,true,0
Olshammarsgatan 77,Ormkärr/Hagsätra,Stockholms,1595000,1595000,1,27,2123,4800,N/A,Stockholms,true,false,0
Lejonets gata 379 - Accepterat pris.,Brandbergen,Haninge,1500000,1495000,2,46,3804,N/A,1972,Stockholms,true,false,0
Skolgatan 4B,Centrala Märsta,Sigtuna,1695000,1695000,2,60,3331,8311,N/A,Stockholms,true,true,0
Kvarnvägen 19A,Hallstavik,Norrtälje,1100000,1095000,4,106,4175,25788,1990,Stockholms,true,false,0
Ektorpsvägen 9,Ektorp,Nacka,1500000,1395000,1,18,811,9828,2016,Stockholms,true,false,0
Kopparvägen 47,Kallhäll,Järfälla,1335000,1250000,1,26,2005,2040,1959,Stockholms,true,true,0
Follingbogatan 18,Beckomberga,Stockholms,1450000,1395000,1,23,2611,1200,N/A,Stockholms,true,false,0
Ringvägen 98,Västerhaninge,Haninge,1555000,1195000,2,57,3534,N/A,N/A,Stockholms,true,false,0
Sörgården 112 bv.,Sörgården,Vallentuna,1150000,1150000,1,29,2601,N/A,N/A,Stockholms,true,false,0
Blomsterkungsvägen 116B (Våning -1),Hässelby Norra Villastad,Stockholms,1600000,1395000,N/A,34,1952,3000,2019,Stockholms,true,false,0
Malmvägen 14C,Tureberg,Sollentuna,1150000,1150000,1,18,1025,N/A,1970,Stockholms,true,false,0
Tornslingan 5,Trångsund,Huddinge,1725000,1495000,1,39,2417,12048,1960,Stockholms,true,true,0
Bjursätragatan 101 2tr,Rågsved,Stockholms,1550000,1550000,1,41,2354,6200,1956,Stockholms,true,false,0
Sörgården 144,Sörgården,Vallentuna,1350000,1295000,1,36,2919,7800,1969,Stockholms,true,true,0
Gransätersgatan 2B,Gransäter,Norrtälje,1300000,1195000,1,31,1575,1944,1958,Stockholms,true,false,0
Galonvägen 6,Bromma Riksby,Stockholms,1550000,1195000,1,15,782,1740,1944,Stockholms,true,false,0
Almbygatan 6 4tr,Rinkeby,Stockholms,1295000,1295000,2,31,2066,N/A,2018,Stockholms,true,true,0
Bangatan 28,Centrum,Södertälje,1625000,1450000,N/A,41,2241,N/A,1972,Stockholms,true,false,0
Ekholmsvägen 301,Skärholmen/Bredäng,Stockholms,1710000,1695000,1,38,2090,N/A,2013,Stockholms,true,true,0
Vigelsjövägen 16C,Vigelsjö,Norrtälje,1140000,1150000,1,34,1849,N/A,N/A,Stockholms,true,false,0
Safirgatan 3 hiss/1 tr,Centralt,Norrtälje,1475000,1495000,2,50,3361,5700,2016,Stockholms,true,false,0
Skarpbrunnavägen 97 nb,,Botkyrka,1570000,1595000,2,48,3032,N/A,1977,Stockholms,true,false,0
Vaktbergsvägen 27,Kullsta s,Nynäshamn,1475000,1495000,N/A,39,2438,4872,1945,Stockholms,true,true,0
Månadsvägen 22,Jakobsberg,Järfälla,1300000,1300000,1,27,2775,N/A,1961,Stockholms,true,false,0
Erik Tegels Väg 11,Bromsten,Stockholms,1600000,1495000,1,45,3099,3708,1961,Stockholms,true,true,0
Nynäsvägen 7,s,Nynäshamn,1445000,1445000,2,45,3181,1800,N/A,Stockholms,true,false,0
Vallhöjdsvägen 27,Överjärna,Södertälje,1595000,1595000,1,34,2258,N/A,N/A,Stockholms,true,false,0
Elmsta Udde 11B,Älmsta,Norrtälje,1600000,1600000,4,108,8638,8200,2007,Stockholms,true,false,0
